m2_dpo.owl,m1_nbo.owl,m1_dpo.owl,m2_nbo.owl,definition,m2_union,definition_name,m1_union,
1,,1,,"quality
 and (inheres_in some hatching behavior)
 and (qualifier some deviation(from_normal))",2,http://ebi.ac.uk#Pattern509,1,
1,,,,"quality
 and (inheres_in some entrainment of circadian clock by photoperiod)
 and (qualifier some dependent continuant)",2,http://ebi.ac.uk#Pattern508,0,
1,,,,"uncoordinated
 and (inheres_in some material anatomical entity)",2,http://ebi.ac.uk#Pattern507,0,
,,,1,"sensation behavior
 and (in_response_to some nicotine consumption)",2,http://ebi.ac.uk#Pattern749,0,
,,,3,"BFO_0000056 some 
    (regulation of alcohol preference behavior
     and (has_quality some continuant))",4,http://ebi.ac.uk#Pattern506,0,
4,,,,"quality
 and (inheres_in some 
    (mating behavior or (behavior
     and (part_of some mating behavior))))
 and (qualifier some continuant)",5,http://ebi.ac.uk#Pattern748,0,
1,,,,"quality
 and (inheres_in some optokinetic behavior)
 and (qualifier some quality)",2,http://ebi.ac.uk#Pattern505,0,
,1,,1,"associative learning behavior
 and (is_about some fear-related behavior)",2,http://ebi.ac.uk#Pattern747,1,
,,,3,"BFO_0000056 some 
    (behavior
     and (has_quality some 
        (increased frequency
         and (towards some liquid consumption))))",4,http://ebi.ac.uk#Pattern989,0,
24,,,,"quality
 and (inheres_in some 
    (Thing or (behavior
     and (part_of some Thing))))
 and (qualifier some abnormal)",25,http://ebi.ac.uk#Pattern504,0,
,3,,3,"associative learning behavior
 and (in_response_to some Thing)",4,http://ebi.ac.uk#Pattern746,2,
24,,,,"quality
 and (inheres_in some behavior)
 and (qualifier some Thing)",25,http://ebi.ac.uk#Pattern988,0,
,1,,1,"associative learning behavior
 and (in_response_to some classical conditioning)",2,http://ebi.ac.uk#Pattern503,1,
,1,,1,"BFO_0000056 some 
    (GO_0050795
     and (has_quality some decreased rate))",2,http://ebi.ac.uk#Pattern745,1,
,16,,16,"BFO_0000056 some 
    (rhythmic behavior
     and (has_quality some quality))",17,http://ebi.ac.uk#Pattern987,1,
,,,7,"sensation behavior
 and (is_about some Thing)",8,http://ebi.ac.uk#Pattern502,0,
,,,1,regulates some regulation of behavior,2,http://ebi.ac.uk#Pattern744,0,
,1,,1,"cutaneous sensation behavior
 and (in_response_to some sensory perception of mechanical stimulus)",2,http://ebi.ac.uk#Pattern986,1,
,,,1,"BFO_0000056 some 
    (regulation of mating preference
     and (has_quality some process quality))",2,http://ebi.ac.uk#Pattern501,0,
,2,,2,"BFO_0000056 some 
    (GO_0050795
     and (has_quality some increased rate))",3,http://ebi.ac.uk#Pattern743,1,
,,,5,"BFO_0000056 some 
    (motor coordination
     and (has_quality some Thing))",6,http://ebi.ac.uk#Pattern985,0,
,,,4,"behavior
 and (is_about some size)",5,http://ebi.ac.uk#Pattern500,0,
,,,1,"learning behavior
 and (is_about some social behavior)",2,http://ebi.ac.uk#Pattern742,0,
,3,,3,"cutaneous sensation behavior
 and (in_response_to some GO_0050951)",4,http://ebi.ac.uk#Pattern984,1,
,2,,2,"BFO_0000056 some 
    (learning and/or memory behavior
     and (has_quality some quality))",3,http://ebi.ac.uk#Pattern741,2,
,,,1,"Thing
 and (has_participant some CHEBI_15377)",2,http://ebi.ac.uk#Pattern983,0,
,,,1,"BFO_0000056 some 
    (regulation of saccharin preference behavior
     and (has_quality some process quality))",2,http://ebi.ac.uk#Pattern740,0,
,,,3,"BFO_0000056 some 
    (regulation of drinking preference behavior
     and (has_quality some 
        (quality
         and (towards some liquid consumption))))",4,http://ebi.ac.uk#Pattern982,0,
,1,,1,"cutaneous sensation behavior
 and (in_response_to some PATO_0001306)",2,http://ebi.ac.uk#Pattern981,1,
,3,,3,"emission behavior
 and (is_about some system process)",4,http://ebi.ac.uk#Pattern980,1,
5,,5,,"quality
 and (inheres_in some reproductive behavior)
 and (qualifier some abnormal)",6,http://ebi.ac.uk#Pattern519,1,
,6,,6,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (frequency
         and (towards some feeding behavior))))",7,http://ebi.ac.uk#Pattern518,1,
,,,1,"behavior
 and (is_about some fear-related behavior)",2,http://ebi.ac.uk#Pattern517,0,
,,,3,"BFO_0000056 some 
    (learning and/or memory behavior
     and (has_quality some Thing))",4,http://ebi.ac.uk#Pattern759,0,
,,,2,"BFO_0000056 some 
    (non-rapid eye movement sleep behavior
     and (has_quality some process quality))",3,http://ebi.ac.uk#Pattern516,0,
,1,,1,"BFO_0000056 some 
    (behavioral control of defecation
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern758,1,
1,,,,"quality
 and (inheres_in some oviposition)
 and (qualifier some qualitative)",2,http://ebi.ac.uk#Pattern515,0,
,,,4,"BFO_0000056 some 
    (GO_0060259
     and (has_quality some Thing))",5,http://ebi.ac.uk#Pattern757,0,
1,,,,"quality
 and (inheres_in some learning)
 and (qualifier some qualitative)",2,http://ebi.ac.uk#Pattern999,0,
4,,,,"quality
 and (inheres_in some locomotory behavior)
 and (qualifier some dependent continuant)",5,http://ebi.ac.uk#Pattern514,0,
,,,4,"BFO_0000056 some 
    (GO_0060259
     and (has_quality some quality))",5,http://ebi.ac.uk#Pattern756,0,
1,,,,"quality
 and (inheres_in some eclosion rhythm)
 and (qualifier some qualitative)",2,http://ebi.ac.uk#Pattern998,0,
,,,11,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (process quality
         and (towards some liquid consumption))))",12,http://ebi.ac.uk#Pattern513,0,
,,,2,"BFO_0000056 some 
    (rhythmic behavior
     and (has_quality some PATO_0001309))",3,http://ebi.ac.uk#Pattern755,0,
1,,1,,"quality
 and (inheres_in some learning)
 and (qualifier some deviation(from_normal))",2,http://ebi.ac.uk#Pattern997,1,
1,,,,"quality
 and (inheres_in some hatching behavior)
 and (qualifier some qualitative)",2,http://ebi.ac.uk#Pattern512,0,
,1,,1,"consumption of an addictive substance
 and (has_participant some CHEBI_37332)",2,http://ebi.ac.uk#Pattern754,1,
2,,2,,"quality
 and (inheres_in some proboscis extension reflex)
 and (qualifier some deviation(from_normal))",3,http://ebi.ac.uk#Pattern996,1,
1,,1,,"quality
 and (inheres_in some oviposition)
 and (qualifier some deviation(from_normal))",2,http://ebi.ac.uk#Pattern511,1,
,1,,1,"sensation behavior
 and (is_about some shape)",2,http://ebi.ac.uk#Pattern753,1,
1,,,,"quality
 and (inheres_in some memory)
 and (qualifier some qualitative)",2,http://ebi.ac.uk#Pattern995,0,
,4,,4,"BFO_0000056 some 
    (GO_0060259
     and (has_quality some physical quality of a process))",5,http://ebi.ac.uk#Pattern510,1,
,,,4,"BFO_0000056 some 
    (behavioral control of production of sound
     and (has_quality some continuant))",5,http://ebi.ac.uk#Pattern752,0,
2,,,,"quality
 and (inheres_in some proboscis extension reflex)
 and (qualifier some qualitative)",3,http://ebi.ac.uk#Pattern994,0,
,6,,6,"sensation behavior
 and (is_about some morphology)",7,http://ebi.ac.uk#Pattern751,2,
4,,4,,"dependent continuant
 and (inheres_in some circadian behavior)
 and (qualifier some abnormal)",5,http://ebi.ac.uk#Pattern993,1,
,,,1,"BFO_0000056 some 
    (regulation of eating behavior
     and (has_quality some increased rate))",2,http://ebi.ac.uk#Pattern750,0,
1,,,,"quality
 and (inheres_in some optokinetic behavior)
 and (qualifier some Thing)",2,http://ebi.ac.uk#Pattern992,0,
,,,1,"Thing
 and (in_response_to some cocaine consumption)",2,http://ebi.ac.uk#Pattern991,0,
,,,3,"BFO_0000056 some 
    (Thing
     and (has_quality some 
        (decreased rate
         and (towards some liquid consumption))))",4,http://ebi.ac.uk#Pattern990,0,
,,,60,"involuntary movement behavior
 and (by_means some Thing)",61,http://ebi.ac.uk#Pattern609,0,
,,,2,"behavior
 and (is_about some emotional behavior)",3,http://ebi.ac.uk#Pattern608,0,
,,,1,"BFO_0000056 some 
    (male courtship behavior
     and (has_quality some Thing))",2,http://ebi.ac.uk#Pattern607,0,
,,,13,"BFO_0000056 some 
    (regulation of behavior
     and (has_quality some rate))",14,http://ebi.ac.uk#Pattern849,0,
,,,1,"Thing
 and (has_participant some UBERON_0000309)",2,http://ebi.ac.uk#Pattern606,0,
,,,26,"BFO_0000056 some 
    (feeding behavior
     and (has_quality some continuant))",27,http://ebi.ac.uk#Pattern848,0,
,,,1,"BFO_0000056 some 
    (learning behavior
     and (has_quality some Thing))",2,http://ebi.ac.uk#Pattern605,0,
1,,,,"quality
 and (inheres_in some jump response)
 and (qualifier some qualitative)",2,http://ebi.ac.uk#Pattern847,0,
,,,3,"BFO_0000056 some 
    (Thing
     and (has_quality some PATO_0001309))",4,http://ebi.ac.uk#Pattern604,0,
1,,1,,"quality
 and (inheres_in some jump response)
 and (qualifier some deviation(from_normal))",2,http://ebi.ac.uk#Pattern846,1,
,,,3,"sensation behavior
 and (in_response_to some GO_0050955)",4,http://ebi.ac.uk#Pattern603,0,
1,,1,,"dependent continuant
 and (inheres_in some learning)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern845,1,
,2,,2,"sensation behavior
 and (in_response_to some sensory perception of mechanical stimulus)",3,http://ebi.ac.uk#Pattern602,1,
,,,1,"social behavior
 and (is_about some jaw movement)",2,http://ebi.ac.uk#Pattern844,0,
,,,1,"Thing
 and (by_means some UBERON_0001256)
 and (is_about some GO_0060073)",2,http://ebi.ac.uk#Pattern601,0,
,,,20,"BFO_0000056 some 
    (voluntary movement behavior
     and (has_quality some Thing))",21,http://ebi.ac.uk#Pattern843,0,
,3,,3,"sensation behavior
 and (in_response_to some sensory perception of light stimulus)",4,http://ebi.ac.uk#Pattern600,1,
1,,,,"quality
 and (inheres_in some memory)
 and (qualifier some quality)",2,http://ebi.ac.uk#Pattern842,0,
2,,,,"quality
 and (inheres_in some proboscis extension reflex)
 and (qualifier some quality)",3,http://ebi.ac.uk#Pattern841,0,
1,,1,,"dependent continuant
 and (inheres_in some eclosion rhythm)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern840,1,
,,,1,"BFO_0000056 some 
    (mating behavior
     and (has_quality some physical quality of a process))",2,http://ebi.ac.uk#Pattern619,0,
,1,,1,"BFO_0000056 some 
    (behavioral control of urination
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern618,1,
,1,,1,"sensation behavior
 and (is_about some color)",2,http://ebi.ac.uk#Pattern617,1,
,1,,1,"nociceptive behavior
 and (in_response_to some GO_0050907)",2,http://ebi.ac.uk#Pattern859,1,
2,,,,"quality
 and (inheres_in some visual behavior)
 and (qualifier some continuant)",3,http://ebi.ac.uk#Pattern616,0,
,9,,9,regulates some feeding behavior,10,http://ebi.ac.uk#Pattern858,2,
,,,1,"BFO_0000056 some 
    (response to radiation
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern615,0,
,,,4,"nociceptive behavior
 and (in_response_to some GO_0050906)",5,http://ebi.ac.uk#Pattern857,0,
1,,,,"quality
 and (inheres_in some regulation of circadian rhythm)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern614,0,
,,,1,"behavior
 and (has_participant some CHEBI_17303)",2,http://ebi.ac.uk#Pattern856,0,
,,,1,"BFO_0000056 some 
    (behavioral control of lacrimation
     and (has_quality some Thing))",2,http://ebi.ac.uk#Pattern613,0,
,1,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased rate
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern855,1,
1,,,,"continuant
 and (inheres_in some organism)",2,http://ebi.ac.uk#Pattern612,0,
,,,1,"BFO_0000056 some 
    (rhythmic behavior
     and (has_quality some frequency))",2,http://ebi.ac.uk#Pattern854,0,
,,,20,"BFO_0000056 some 
    (voluntary movement behavior
     and (has_quality some continuant))",21,http://ebi.ac.uk#Pattern611,0,
,,,1,"social behavior
 and (is_about some blinking)",2,http://ebi.ac.uk#Pattern853,0,
2,,,,"quality
 and (inheres_in some 
    (multi-organism behavior or (behavior
     and (part_of some multi-organism behavior))))
 and (qualifier some abnormal)",3,http://ebi.ac.uk#Pattern610,0,
,11,,11,"BFO_0000056 some 
    (somatic sensation related behavior
     and (has_quality some dependent continuant))",12,http://ebi.ac.uk#Pattern852,1,
,,,3,"BFO_0000056 some 
    (regulation of drinking preference behavior
     and (has_quality some 
        (qualitative
         and (towards some liquid consumption))))",4,http://ebi.ac.uk#Pattern851,0,
1,,,,"quality
 and (inheres_in some eclosion rhythm)
 and (qualifier some quality)",2,http://ebi.ac.uk#Pattern850,0,
,,,6,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (frequency
         and (towards some consumption behavior))))",7,http://ebi.ac.uk#Pattern829,0,
1,,,,"uncoordinated
 and (inheres_in some anatomical entity)",2,http://ebi.ac.uk#Pattern828,0,
,10,,10,"single-organism behavior
 and (is_about some circadian rhythm)",11,http://ebi.ac.uk#Pattern827,1,
,,,6,"Thing
 and (in_response_to some GO_0019233)",7,http://ebi.ac.uk#Pattern826,0,
,,,1,"BFO_0000056 some 
    (regulation of saccharin preference behavior
     and (has_quality some continuant))",2,http://ebi.ac.uk#Pattern825,0,
,165,,165,"BFO_0000056 some 
    (behavior
     and (has_quality some quality))",166,http://ebi.ac.uk#Pattern824,5,
,4,,4,"BFO_0000056 some 
    (sexual activity
     and (has_quality some dependent continuant))",5,http://ebi.ac.uk#Pattern823,1,
,3,,3,"sleeping behavior
 and (is_about some Thing)",4,http://ebi.ac.uk#Pattern822,1,
,,,1,"BFO_0000056 some 
    (food consumption
     and (has_quality some Thing))",2,http://ebi.ac.uk#Pattern821,0,
,1,,1,"liquid consumption
 and (has_participant some CHEBI_37176)",2,http://ebi.ac.uk#Pattern820,1,
,,,1,"regulation of feeding behavior
 and (has_participant some CHEBI_16236)",2,http://ebi.ac.uk#Pattern839,0,
,34,,34,"BFO_0000056 some 
    (kinesthetic behavior
     and (has_quality some quality))",35,http://ebi.ac.uk#Pattern838,2,
,,,2,"feeding behavior
 and (has_participant some CHEBI_50906)",3,http://ebi.ac.uk#Pattern837,0,
,,,1,"cognitive behavior
 and (is_about some motor coordination)",2,http://ebi.ac.uk#Pattern836,0,
,,,1,"perception behavior by means
 and (in_response_to some GO_0050966)",2,http://ebi.ac.uk#Pattern835,0,
,,,1,"perception behavior by means
 and (in_response_to some GO_0050965)",2,http://ebi.ac.uk#Pattern834,0,
,,,1,"perception behavior by means
 and (in_response_to some GO_0050968)",2,http://ebi.ac.uk#Pattern833,0,
,,,1,"perception behavior by means
 and (in_response_to some GO_0050967)",2,http://ebi.ac.uk#Pattern832,0,
,10,,10,"BFO_0000056 some 
    (emission behavior
     and (has_quality some dependent continuant))",11,http://ebi.ac.uk#Pattern831,1,
,,,1,"has_quality some 
    (PATO_0002361
     and (towards some cognitive behavior))",2,http://ebi.ac.uk#Pattern830,0,
24,,,,"continuant
 and (inheres_in some behavior)
 and (qualifier some abnormal)",25,http://ebi.ac.uk#Pattern1071,0,
,3,,3,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased frequency
         and (towards some feeding behavior))))",4,http://ebi.ac.uk#Pattern1070,1,
,,,1,"cognitive behavior
 and (in_response_to some GO_0050966)",2,http://ebi.ac.uk#Pattern1073,0,
1,,,,"continuant
 and (inheres_in some optokinetic behavior)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern1072,0,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (decreased frequency
         and (qualifier some PATO_0001863)
         and (towards some behavior))))",2,http://ebi.ac.uk#Pattern1075,0,
,,,1,"cognitive behavior
 and (in_response_to some GO_0050965)",2,http://ebi.ac.uk#Pattern1074,0,
,3,,3,"behavioral response to addictive substance
 and (in_response_to some consumption of an addictive substance)",4,http://ebi.ac.uk#Pattern1077,3,
,,,1,"cognitive behavior
 and (in_response_to some GO_0050968)",2,http://ebi.ac.uk#Pattern1076,0,
,,,2,"has_quality some 
    (lacking processual parts
     and (towards some Thing))",3,http://ebi.ac.uk#Pattern809,0,
,1,,1,"BFO_0000056 some 
    (visual behavior
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern808,1,
1,,,,"quality
 and (inheres_in some circadian mating behavior)
 and (qualifier some quality)",2,http://ebi.ac.uk#Pattern807,0,
,,,1,"behavior
 and (in_response_to some GO_0050968)",2,http://ebi.ac.uk#Pattern806,0,
,,,1,"behavior
 and (in_response_to some GO_0050967)",2,http://ebi.ac.uk#Pattern805,0,
,1,,1,"has_quality some 
    (lacking processual parts
     and (towards some emotional behavior))",2,http://ebi.ac.uk#Pattern804,1,
,3,,3,"chemosensory behavior
 and (in_response_to some neurological system process)",4,http://ebi.ac.uk#Pattern803,2,
,,,1,"behavior
 and (in_response_to some GO_0050966)",2,http://ebi.ac.uk#Pattern802,0,
,,,3,"BFO_0000056 some 
    (single-organism process
     and (has_quality some PATO_0001309))",4,http://ebi.ac.uk#Pattern801,0,
,,,1,"behavior
 and (in_response_to some GO_0050965)",2,http://ebi.ac.uk#Pattern800,0,
,,,4,"behavioral response to addictive substance
 and (in_response_to some behavior)",5,http://ebi.ac.uk#Pattern1079,0,
,,,1,"cognitive behavior
 and (in_response_to some GO_0050967)",2,http://ebi.ac.uk#Pattern1078,0,
,,,2,"BFO_0000056 some 
    (regulation of drinking preference behavior
     and (has_quality some 
        (increased rate
         and (towards some behavior))))",3,http://ebi.ac.uk#Pattern1060,0,
,2,,2,"sleeping behavior
 and (is_about some GO_0022410)",3,http://ebi.ac.uk#Pattern1062,2,
,,,8,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (qualitative
         and (towards some liquid consumption))))",9,http://ebi.ac.uk#Pattern1061,0,
,,,16,"BFO_0000056 some 
    (sensation behavior
     and (has_quality some continuant))",17,http://ebi.ac.uk#Pattern1064,0,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some temporal distribution quality)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern1063,0,
,,,1,"single-multicellular organism process
 and (is_about some GO_0042747)",2,http://ebi.ac.uk#Pattern8,0,
,1,,1,"consumption of an addictive substance
 and (has_participant some CHEBI_33308)",2,http://ebi.ac.uk#Pattern1066,1,
,,,14,"BFO_0000056 some 
    (emotional behavior
     and (has_quality some continuant))",15,http://ebi.ac.uk#Pattern9,0,
,1,,1,"perceptual constancy behavior
 and (is_about some optical quality)",2,http://ebi.ac.uk#Pattern1065,1,
1,,1,,"dependent continuant
 and (inheres_in some locomotor rhythm)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern6,1,
,,,1,"BFO_0000056 some 
    (copulation
     and (has_quality some continuant))",2,http://ebi.ac.uk#Pattern7,0,
,3,,3,"spatial perception
 and (is_about some physical object quality)",4,http://ebi.ac.uk#Pattern4,1,
24,,,,"quality
 and (inheres_in some 
    (biological_process or (behavior
     and (part_of some biological_process))))
 and (qualifier some abnormal)",25,http://ebi.ac.uk#Pattern5,0,
,,,1,"BFO_0000056 some 
    (aggressive behavior
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern2,0,
,2,,2,"BFO_0000056 some 
    (regulation of drinking preference behavior
     and (has_quality some 
        (increased process quality
         and (towards some liquid consumption))))",3,http://ebi.ac.uk#Pattern3,1,
,,,3,"BFO_0000056 some 
    (regulation of drinking preference behavior
     and (has_quality some 
        (continuant
         and (towards some liquid consumption))))",4,http://ebi.ac.uk#Pattern1,0,
,,,1,"perception behavior by means
 and (in_response_to some sensory perception of touch)",2,http://ebi.ac.uk#Pattern819,0,
,1,,1,"consumption of an addictive substance
 and (has_participant some CHEBI_26416)",2,http://ebi.ac.uk#Pattern818,1,
24,,24,,"dependent continuant
 and (inheres_in some behavior)
 and (qualifier some abnormal)",25,http://ebi.ac.uk#Pattern817,1,
1,,1,,"dependent continuant
 and (inheres_in some optokinetic behavior)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern816,1,
1,,,,"quality
 and (inheres_in some 
    (courtship behavior or (Thing
     and (part_of some courtship behavior))))
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern815,0,
,,,4,"behavioral response to chemical stimulus
 and (in_response_to some neurological system process)",5,http://ebi.ac.uk#Pattern814,0,
,,,,"emission behavior
 and (is_about some GO_0030421)",1,http://ebi.ac.uk#Pattern813,1,
,4,,4,"cognitive behavior
 and (is_about some size)",5,http://ebi.ac.uk#Pattern812,1,
,,,6,"behavior
 and (in_response_to some GO_0019233)",7,http://ebi.ac.uk#Pattern811,0,
,2,,2,"behavior
 and (has_participant some CHEBI_27958)",3,http://ebi.ac.uk#Pattern810,1,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (rate
         and (qualifier some PATO_0001333)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern1068,0,
,3,,3,"chemosensory behavior
 and (in_response_to some Thing)",4,http://ebi.ac.uk#Pattern1067,2,
,,,60,"Thing
 and (by_means some reflex)",61,http://ebi.ac.uk#Pattern1069,0,
,,,1,"cognitive behavior
 and (is_about some blinking)",2,http://ebi.ac.uk#Pattern1093,0,
,4,,4,"behavioral response to chemical stimulus
 and (in_response_to some sensory perception)",5,http://ebi.ac.uk#Pattern1092,1,
,,,3,"BFO_0000056 some 
    (regulation of alcohol preference behavior
     and (has_quality some dependent continuant))",4,http://ebi.ac.uk#Pattern1095,0,
,,,1,"BFO_0000056 some 
    (female sexual activity
     and (has_quality some continuant))",2,http://ebi.ac.uk#Pattern1094,0,
,,,1,"cognitive behavior
 and (in_response_to some morphine consumption)",2,http://ebi.ac.uk#Pattern1097,0,
,,,2,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (continuant
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",3,http://ebi.ac.uk#Pattern1096,0,
,1,,1,"behavior
 and (is_about some GO_0030421)",2,http://ebi.ac.uk#Pattern1099,1,
,,,1,"sensation behavior
 and (has_participant some UBERON_0000309)",2,http://ebi.ac.uk#Pattern1098,0,
,,,1,"cognitive behavior
 and (is_about some jaw movement)",2,http://ebi.ac.uk#Pattern1091,0,
,,,13,"has_quality some 
    (Thing
     and (towards some depression behavior))",14,http://ebi.ac.uk#Pattern1090,0,
,,,14,"has_quality some 
    (PATO_0002361
     and (towards some Thing))",15,http://ebi.ac.uk#Pattern1082,0,
,1,,1,"regulation of eating preference behavior
 and (has_participant some CHEBI_55505)",2,http://ebi.ac.uk#Pattern1081,1,
,1,,1,"behavioral response to chemical stimulus
 and (in_response_to some sensory perception of smell)",2,http://ebi.ac.uk#Pattern1084,1,
,,,4,"behavioral response to chemical stimulus
 and (in_response_to some system process)",5,http://ebi.ac.uk#Pattern1083,0,
,3,,3,"sleeping behavior
 and (is_about some single-organism process)",4,http://ebi.ac.uk#Pattern1086,1,
2,,2,,"quality
 and (inheres_in some reflex)
 and (qualifier some abnormal)",3,http://ebi.ac.uk#Pattern1085,1,
,,,1,"Thing
 and (by_means some UBERON_0001817)
 and (is_about some GO_0070075)",2,http://ebi.ac.uk#Pattern1088,0,
,,,1,"cognitive behavior
 and (by_means some UBERON_0005725)",2,http://ebi.ac.uk#Pattern1087,0,
,,,20,"BFO_0000056 some 
    (Thing
     and (has_quality some rate))",21,http://ebi.ac.uk#Pattern1080,0,
,,,2,"emission behavior
 and (is_about some GO_0065008)",3,http://ebi.ac.uk#Pattern1089,0,
,,,2,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (physical quality of a process
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",3,http://ebi.ac.uk#Pattern1271,0,
,,,2,"Thing
 and (is_about some shape)",3,http://ebi.ac.uk#Pattern1270,0,
,,,1,"consumption of an addictive substance
 and (has_participant some CHEBI_35701)",2,http://ebi.ac.uk#Pattern1031,0,
,,,1,"behavioral control of external secretion
 and (by_means some UBERON_0000061)
 and (is_about some GO_0070075)",2,http://ebi.ac.uk#Pattern1273,0,
,,,8,"consumption behavior
 and ((has_participant some CHEBI_33290) or (has_participant some Thing))",9,http://ebi.ac.uk#Pattern1030,0,
,3,,3,"BFO_0000056 some 
    (non-rapid eye movement sleep behavior
     and (has_quality some dependent continuant))",4,http://ebi.ac.uk#Pattern1272,1,
,,,3,"BFO_0000056 some 
    (regulation of drinking preference behavior
     and (has_quality some 
        (Thing
         and (towards some liquid consumption))))",4,http://ebi.ac.uk#Pattern1033,0,
1,,,,"continuant
 and (inheres_in some learning)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern1275,0,
2,,,,"continuant
 and (inheres_in some visual behavior)
 and (qualifier some abnormal)",3,http://ebi.ac.uk#Pattern1032,0,
,4,,4,"sensation behavior
 and (in_response_to some sensory perception of chemical stimulus)",5,http://ebi.ac.uk#Pattern1274,1,
1,,,,"quality
 and (inheres_in some feeding behavior)
 and (qualifier some dependent continuant)",2,http://ebi.ac.uk#Pattern1035,0,
,1,,1,"behavioral response to xenobiotics
 and (in_response_to some alcohol consumption)",2,http://ebi.ac.uk#Pattern1277,1,
3,,,,"quality
 and (inheres_in some response to abiotic stimulus)
 and (qualifier some abnormal)",4,http://ebi.ac.uk#Pattern1034,0,
,2,,2,"sensation behavior
 and (in_response_to some sensory perception of smell)",3,http://ebi.ac.uk#Pattern1276,1,
,,,1,"has_quality some 
    (increased quality
     and (towards some memory loss behavior))",2,http://ebi.ac.uk#Pattern1037,0,
1,,1,,"quality
 and (inheres_in some photoperiodism)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern1279,1,
1,,,,"quality
 and (inheres_in some entrainment of circadian clock by photoperiod)
 and (qualifier some quality)",2,http://ebi.ac.uk#Pattern1036,0,
,,,13,"BFO_0000056 some 
    (reproductive process
     and (has_quality some quality))",14,http://ebi.ac.uk#Pattern1278,0,
1,,,,"quality
 and (inheres_in some entrainment of circadian clock by photoperiod)
 and (qualifier some continuant)",2,http://ebi.ac.uk#Pattern1039,0,
,2,,2,"behavioral control of excretion
 and (is_about some GO_0007588)",3,http://ebi.ac.uk#Pattern1038,1,
,19,,19,"regulates some 
    (food consumption or consumption behavior)",20,http://ebi.ac.uk#Pattern1260,1,
5,,,,"quality
 and (inheres_in some 
    (multicellular organismal reproductive process or (behavior
     and (part_of some multicellular organismal reproductive process))))
 and (qualifier some abnormal)",6,http://ebi.ac.uk#Pattern1020,0,
,4,,4,"BFO_0000056 some 
    (reproductive behavior
     and (has_quality some quality))",5,http://ebi.ac.uk#Pattern1262,1,
,25,,25,"regulates some 
    (liquid consumption or behavior)",26,http://ebi.ac.uk#Pattern1261,1,
,,,11,"BFO_0000056 some 
    (behavior
     and (has_quality some 
        (rate
         and (towards some liquid consumption))))",12,http://ebi.ac.uk#Pattern1022,0,
,,,1,"BFO_0000056 some 
    (male sexual activity
     and (has_quality some continuant))",2,http://ebi.ac.uk#Pattern1264,0,
,1,,1,"nociceptive behavior
 and (in_response_to some GO_0050963)",2,http://ebi.ac.uk#Pattern1021,1,
,13,,13,"BFO_0000056 some 
    (locomotory behavior
     and (has_quality some dependent continuant))",14,http://ebi.ac.uk#Pattern1263,1,
,,,1,"BFO_0000056 some 
    (regulation of behavior
     and (regulates some (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563)))))",2,http://ebi.ac.uk#Pattern1024,0,
,,,2,"liquid consumption
 and (has_participant some Thing)",3,http://ebi.ac.uk#Pattern1266,0,
,,,8,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (deviation(from_normal)
         and (towards some liquid consumption))))",9,http://ebi.ac.uk#Pattern1023,0,
,1,,1,"has_quality some 
    (increased object quality
     and (towards some memory loss behavior))",2,http://ebi.ac.uk#Pattern1265,1,
